config,split,n,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy,qwk,cohen_kappa,kl4_f1,kl4_precision,kl4_recall,mae,exact_accuracy,within_1_accuracy,kl0_f1,kl1_f1,kl2_f1,kl3_f1,kl4_f1_dup,ece,nll,tag
"ENSEMBLE[vgg16,densenet121]",val,1238,0.6922455573505655,0.7265209811325088,0.7281151330432238,0.724730430326516,0.7069664314556837,0.6922455573505655,0.6966593974108571,0.7281151330432238,0.8463701812630785,0.5777709347479308,0.918918918918919,0.918918918918919,0.918918918918919,0.3481421647819063,0.6922455573505655,0.9596122778675282,0.782249742002064,0.4073319755600815,0.6666666666666666,0.8484848484848485,0.918918918918919,0.040635387315438046,0.7187617149790468,ENSEMBLE|val
"ENSEMBLE[vgg16,densenet121]",test,1240,0.7233870967741935,0.7384953829476653,0.742307801840583,0.7375463046924243,0.7234321151444476,0.7233870967741935,0.7196896469541966,0.742307801840583,0.8717784148446079,0.6188205771643664,0.9090909090909091,0.8974358974358975,0.9210526315789473,0.30806451612903224,0.7233870967741935,0.9701612903225807,0.8071570576540755,0.42953020134228187,0.7164685908319185,0.8254847645429363,0.9090909090909091,0.044437526948215414,0.658262049053494,ENSEMBLE|test
best_single[vgg19]+temp,val,1238,0.6736672051696284,0.7218741557282721,0.7116779978252469,0.7108677822051419,0.7007001249311885,0.6736672051696284,0.6800834069299876,0.7116779978252469,0.8490960797507624,0.5519166316521278,0.9333333333333333,0.9210526315789473,0.9459459459459459,0.3562197092084006,0.6736672051696284,0.9709208400646203,0.7910750507099391,0.3862332695984704,0.6145833333333334,0.8291139240506329,0.9333333333333333,0.0531318661794564,0.7305072110706516,
best_single[vgg19]+temp,test,1240,0.6983870967741935,0.7314564873618321,0.7073354080038685,0.7148342092397342,0.7107417740803045,0.6983870967741935,0.6993140130562931,0.7073354080038685,0.8721697405907932,0.5857669465675446,0.8888888888888888,0.9411764705882353,0.8421052631578947,0.3217741935483871,0.6983870967741935,0.9806451612903225,0.8096676737160121,0.42276422764227645,0.6596491228070176,0.7932011331444759,0.8888888888888888,0.05315578396866629,0.6879265788776016,
