model,temperature,val_ece_raw,val_ece_cal,test_ece_raw,test_ece_cal
vgg16,1.4546627378385717,0.06949778466887158,0.0693283357869872,0.0402974011196244,0.04251816339212306
vgg19,1.6636255074812047,0.09108792230944256,0.0531318661794564,0.08219863890159514,0.05315578396866629
convnext_tiny,1.2236303791955423,0.059621456944306976,0.06741955619006905,0.035796178468773435,0.054810285614959035
densenet121,1.537990733678772,0.08006579875464584,0.0364648064003035,0.08258826960959743,0.020050086313003392
inception_v3,1.2843925158010048,0.05549347487327933,0.04339837708708117,0.04513746646623458,0.02285453908166217
resnet50,1.221546791890951,0.05215716198303396,0.04340906556129093,0.02750770197279994,0.038710000919953184
ENSEMBLE,,,0.040635387315438046,,0.044437526948215414
