experiment_id,family,model,preprocessing,loss,optimizer,learning_rate,stage_a_epochs,max_epochs,patience,differential_lr,augmentation,seed,best_epoch,epochs_run,val_accuracy,val_macro_f1,val_qwk,val_balanced_accuracy,KL0_F1,KL1_F1,KL2_F1,KL3_F1,KL4_F1,parameters,gmacs,latency_ms_gpu,latency_ms_cpu,training_time_sec,stopped_early,checkpoint
convnext_tiny__seed__42,multiseed,convnext_tiny,clahe,class_balanced,adamw,0.0001,3,50,5,False,augmentation.yaml,42,12,17,0.6744749596122779,0.712165612939642,0.821346092369856,0.7218450935432068,0.744920993227991,0.4056795131845842,0.6724137931034483,0.8430769230769231,0.8947368421052632,27823973,4.4697,3.2174,20.973,132.7,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__seed__42\best.pt
convnext_tiny__seed__123,multiseed,convnext_tiny,clahe,class_balanced,adamw,0.0001,3,50,5,False,augmentation.yaml,123,12,17,0.659935379644588,0.7113378580436602,0.8388090663907181,0.7143534784160196,0.7549668874172185,0.416243654822335,0.629059829059829,0.8375,0.918918918918919,27823973,4.4697,7.8536,20.7825,128.6,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__seed__123\best.pt
convnext_tiny__seed__3407,multiseed,convnext_tiny,clahe,class_balanced,adamw,0.0001,3,50,5,False,augmentation.yaml,3407,16,21,0.6801292407108239,0.7044755507242578,0.8296306048388762,0.7119762497160571,0.7740628166160081,0.3755656108597285,0.6446540880503144,0.8214285714285714,0.9066666666666666,27823973,4.4697,3.194,20.2822,152.9,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\convnext_tiny__seed__3407\best.pt
vgg16__seed__42,multiseed,vgg16,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,42,7,12,0.6203554119547657,0.6602487295819475,0.7947370346716216,0.679920457744709,0.7114093959731543,0.3035343035343035,0.6195488721804512,0.7576601671309192,0.9090909090909092,134281029,15.4662,3.2999,61.1657,218.7,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\vgg16__seed__42\best.pt
vgg16__seed__123,multiseed,vgg16,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,123,25,30,0.6712439418416801,0.7086281457340962,0.8358358214599786,0.7088848466827092,0.7611777535441657,0.3732251521298174,0.6696296296296296,0.8201892744479495,0.918918918918919,134281029,15.4662,3.0133,55.1651,604.1,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\vgg16__seed__123\best.pt
vgg16__seed__3407,multiseed,vgg16,basic,weighted_cross_entropy,adamw,0.0001,3,50,5,False,augmentation.yaml,3407,21,26,0.684168012924071,0.7090058581290116,0.8387581635814366,0.7033104305369775,0.7761194029850746,0.3728070175438596,0.6893617021276596,0.8026315789473685,0.9041095890410958,134281029,15.4662,3.1566,57.7313,502.8,True,C:\Users\knpra\OneDrive\Documents\projects\OA\models\phase6\experiments\vgg16__seed__3407\best.pt
